name,description,category,created_at,updated_at
Cappuccino,"Espresso shot dengan busa susu lembut khas Italia, creamy dan sedikit bold",Hot Drinks,2024-01-15 08:00:00,
Latte,"Espresso dengan steamed milk yang silky smooth, mild dan sedikit manis",Hot Drinks,2024-01-15 08:00:00,
Flat White,"Double espresso dengan sedikit susu, rasa kopi lebih pekat dan bold",Hot Drinks,2024-01-15 08:00:00,
Caramel Macchiato,"Espresso dengan sirup karamel manis dan susu creamy, cocok buat yang suka manis",Hot Drinks,2024-01-15 08:00:00,
Espresso,"Single shot espresso murni, pekat dan kuat, untuk penikmat kopi sejati",Hot Drinks,2024-01-15 08:00:00,
Mocha,"Perpaduan espresso, cokelat, dan susu creamy yang kaya dan indulging",Hot Drinks,2024-01-15 08:00:00,
White Mocha,"Espresso dengan white chocolate dan susu steamed, manis lembut dan creamy",Hot Drinks,2024-01-15 08:00:00,
Hot Chocolate,"Cokelat premium dengan susu panas, hangat dan kaya rasa, cocok untuk semua usia",Hot Drinks,2024-01-15 08:00:00,
Cold Coffee,"Kopi dingin yang segar dan smooth, disajikan dengan es batu pilihan",Cold Drinks,2024-01-15 08:00:00,
Cold Mocha,"Mocha dingin yang kaya cokelat, espresso, dan susu dingin, segar dan indulging",Cold Drinks,2024-01-15 08:00:00,
Iced Tea,"Teh segar disajikan dingin dengan es, ringan dan menyegarkan di segala suasana",Cold Drinks,2024-01-15 08:00:00,
Lemonade,"Lemon segar diperas langsung, manis asam dan menyegarkan, bebas pengawet",Cold Drinks,2024-01-15 08:00:00,
Sandwich Ham&Cheese,"Roti panggang dengan ham juicy dan keju cheddar leleh, gurih dan mengenyangkan",Snacks,2024-01-15 08:00:00,
Sandwich Salami&Mozzarella,"Roti panggang dengan salami Italia dan mozzarella segar, savory dan lezat",Snacks,2024-01-15 08:00:00,
