name,description,status,campaign_type,discount_percentage,target_revenue,start_date,end_date,banner,created_by,created_at,updated_at
Promo Cappuccino 20%,Diskon cappuccino pagi hari,active,discount,20,5000000,2026-06-01,2026-06-30,campaign1.jpg,1,2026-06-01 08:00:00,NULL
Buy 1 Get 1 Latte,Promo latte spesial,active,buy1get1,0,8000000,2026-06-10,2026-07-10,campaign2.jpg,1,2026-06-10 08:00:00,NULL
Weekend Coffee Bundle,Paket kopi dan pastry,active,bundle,15,6000000,2026-06-15,2026-07-15,campaign3.jpg,1,2026-06-15 08:00:00,NULL
Member Loyalty Month,Promo pelanggan loyal,active,loyalty,10,4000000,2026-06-01,2026-06-30,campaign4.jpg,1,2026-06-01 08:00:00,NULL
Summer Coffee Fest,Promo seasonal kopi,active,seasonal,25,12000000,2026-06-20,2026-08-01,campaign5.jpg,1,2026-06-20 08:00:00,NULL
Promo Espresso 30%,Diskon espresso pilihan,active,discount,30,6000000,2026-01-29,2026-02-13,campaign6.jpg,1,2026-01-27 00:00:00,NULL
Buy 2 Get 1 Americano,Promo americano hemat,completed,buy1get1,0,4000000,2026-01-27,2026-03-25,campaign7.jpg,1,2026-01-22 00:00:00,NULL
Morning Bundle Deal,Paket sarapan dan kopi,active,bundle,10,6000000,2026-01-09,2026-01-24,campaign8.jpg,1,2026-01-07 00:00:00,NULL
Student Discount,Diskon khusus pelajar,completed,discount,15,6000000,2026-06-04,2026-06-19,campaign9.jpg,1,2026-05-29 00:00:00,NULL
Flash Sale Frappuccino,Flash sale minuman dingin,active,flash_sale,40,15000000,2026-05-20,2026-06-29,campaign10.jpg,1,2026-05-15 00:00:00,NULL
Cashback Weekend,Cashback setiap akhir pekan,inactive,cashback,0,10000000,2026-01-02,2026-01-26,campaign11.jpg,1,2025-12-30 00:00:00,NULL
Referral Bonus Program,Program referral pelanggan,active,referral,0,4000000,2026-02-25,2026-04-01,campaign12.jpg,1,2026-02-21 00:00:00,NULL
Iced Tea Promo,Diskon teh dingin spesial,completed,discount,20,8000000,2026-04-02,2026-05-08,campaign13.jpg,1,2026-03-26 00:00:00,NULL
Mocha Monday,Promo hari Senin untuk mocha,active,discount,25,12000000,2026-04-28,2026-06-15,campaign14.jpg,1,2026-04-27 00:00:00,NULL
Afternoon Bundle,Paket sore hari spesial,completed,bundle,12,10000000,2026-03-17,2026-05-10,campaign15.jpg,1,2026-03-12 00:00:00,NULL
VIP Member Flash Sale,Flash sale eksklusif member,active,flash_sale,35,8000000,2026-01-18,2026-02-03,campaign16.jpg,1,2026-01-17 00:00:00,NULL
New Menu Launch,Promo peluncuran menu baru,active,seasonal,20,15000000,2026-01-26,2026-03-05,campaign17.jpg,1,2026-01-20 00:00:00,NULL
Birthday Month Offer,Promo ulang tahun pelanggan,active,loyalty,30,6000000,2026-02-11,2026-03-20,campaign18.jpg,1,2026-02-05 00:00:00,NULL
Double Points Tuesday,Poin ganda setiap Selasa,active,loyalty,0,6000000,2026-01-19,2026-03-12,campaign19.jpg,1,2026-01-17 00:00:00,NULL
